measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,KR-NA,1,-0.654452479461141,-1.1098263355169609,0.4553738560558198,descriptive; no pointwise inference
signalling,KR-NA,65,0.2618086079275328,-0.0315293422873564,0.2933379502148893,descriptive; no pointwise inference
signalling,KR-NA,66,0.2814404030480107,-0.0114371259690356,0.2928775290170464,descriptive; no pointwise inference
signalling,KR-NA,67,0.3021791623932515,0.0078713287991388,0.2943078335941126,descriptive; no pointwise inference
signalling,KR-NA,68,0.3224430296104387,0.0271802377132356,0.295262791897203,descriptive; no pointwise inference
signalling,KR-NA,69,0.3418693371819219,0.0496304922039881,0.2922388449779337,descriptive; no pointwise inference
signalling,KR-NA,70,0.3647240907128619,0.0701623845051725,0.2945617062076894,descriptive; no pointwise inference
signalling,KR-NA,71,0.3872256432992114,0.0939239390015434,0.2933017042976679,descriptive; no pointwise inference
signalling,KR-NA,72,0.4098693440177332,0.1159396039027637,0.2939297401149695,descriptive; no pointwise inference
signalling,KR-NA,73,0.4327197444942826,0.138701325949126,0.2940184185451565,descriptive; no pointwise inference
signalling,KR-NA,74,0.4555107311541698,0.1656119458468309,0.2898987853073389,descriptive; no pointwise inference
signalling,KR-NA,75,0.4821099926248262,0.1913143469090754,0.2907956457157508,descriptive; no pointwise inference
signalling,KR-NA,76,0.5095657885680182,0.2163750347732628,0.2931907537947553,descriptive; no pointwise inference
signalling,KR-NA,77,0.5353826916189705,0.2454324327577189,0.2899502588612516,descriptive; no pointwise inference
signalling,KR-NA,78,0.5651975871090282,0.2737075140084368,0.2914900731005914,descriptive; no pointwise inference
signalling,KR-NA,79,0.5957800446688258,0.3076057014325153,0.2881743432363105,descriptive; no pointwise inference
signalling,KR-NA,80,0.6256747365723415,0.3412033425047327,0.2844713940676088,descriptive; no pointwise inference
signalling,KR-NA,81,0.6583678712863011,0.3727704239254907,0.2855974473608104,descriptive; no pointwise inference
signalling,KR-NA,82,0.6913106170296973,0.4096698174368232,0.2816407995928741,descriptive; no pointwise inference
signalling,KR-NA,83,0.7275875031348628,0.4479053736921328,0.2796821294427299,descriptive; no pointwise inference
signalling,KR-NA,84,0.7641225423673663,0.4887603418447417,0.2753622005226245,descriptive; no pointwise inference
signalling,KR-NA,85,0.8018149944040016,0.5311728960919854,0.2706420983120162,descriptive; no pointwise inference
signalling,KR-NA,86,0.8458917058905704,0.5770928734789089,0.2687988324116614,descriptive; no pointwise inference
signalling,KR-NA,87,0.8936173126242672,0.6274099963741894,0.2662073162500779,descriptive; no pointwise inference
signalling,KR-NA,88,0.9438161616496924,0.6811096108905703,0.2627065507591221,descriptive; no pointwise inference
signalling,KR-NA,89,1.0056163541379783,0.7375223058500535,0.2680940482879248,descriptive; no pointwise inference
