measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
signalling,NA,-1.4487614899860848,1,30,42000,0.00071428571428571429
signalling,NA,-1.444838106289076,1,31,42000,0.00073809523809523811
signalling,NA,-1.4387130758485356,1,32,42000,0.00076190476190476193
signalling,NA,-1.4353628397649978,1,33,42000,0.00078571428571428575
signalling,NA,-1.4349136303523025,1,34,42000,0.00080952380952380957
signalling,NA,-1.4347443670326103,1,35,42000,0.00083333333333333339
signalling,NA,-1.434595051899471,1,36,42000,0.0008571428571428571
signalling,NA,-1.431479247441552,1,37,42000,0.00088095238095238092
signalling,NA,-1.42926007213356,1,38,42000,0.00090476190476190474
signalling,NA,-1.428203664455299,1,39,42000,0.00092857142857142856
signalling,NA,-1.426464749034807,1,40,42000,0.00095238095238095238
signalling,NA,-1.4244072458895471,1,41,42000,0.0009761904761904762
signalling,NA,-1.4236945751859402,1,42,42000,0.001
signalling,NA,-1.4225571459537751,1,43,42000,0.0010238095238095238
signalling,NA,-1.4221300526885114,1,44,42000,0.0010476190476190477
signalling,NA,-1.4200020347384956,1,45,42000,0.0010714285714285715
signalling,NA,-1.4199805510466124,1,46,42000,0.0010952380952380953
signalling,NA,-1.41081265115829,1,47,42000,0.0011190476190476191
signalling,NA,-1.410086567172549,1,48,42000,0.0011428571428571429
signalling,NA,-1.4083776711768656,1,49,42000,0.0011666666666666668
signalling,NA,-1.407988807639739,1,50,42000,0.0011904761904761906
signalling,NA,-1.4047226187926452,1,51,42000,0.0012142857142857142
signalling,NA,-1.4032614303827535,1,52,42000,0.001238095238095238
signalling,NA,-1.399985392789054,1,53,42000,0.0012619047619047618
signalling,NA,-1.3974929507087248,1,54,42000,0.0012857142857142856
signalling,NA,-1.3974200318204602,1,55,42000,0.0013095238095238095
signalling,NA,-1.3943187529710708,1,56,42000,0.0013333333333333333
signalling,NA,-1.3941583249862213,1,57,42000,0.0013571428571428571
signalling,NA,-1.3938692590788218,1,58,42000,0.0013809523809523809
signalling,NA,-1.3902684650878383,1,59,42000,0.0014047619047619047
signalling,NA,-1.387560324449929,1,60,42000,0.0014285714285714286
signalling,NA,-1.3849744335995886,1,61,42000,0.0014523809523809524
signalling,NA,-1.3815694453726597,1,62,42000,0.0014761904761904762
signalling,NA,-1.3807795446200883,1,63,42000,0.0015
signalling,NA,-1.3805116486428102,1,64,42000,0.0015238095238095239
signalling,NA,-1.3799209255770772,1,65,42000,0.0015476190476190477
signalling,NA,-1.3771200344750654,1,66,42000,0.0015714285714285715
signalling,NA,-1.3763364087856242,1,67,42000,0.0015952380952380953
signalling,NA,-1.3741835938241322,1,68,42000,0.0016190476190476191
signalling,NA,-1.370852816363123,1,69,42000,0.001642857142857143
signalling,NA,-1.3684053865596937,1,70,42000,0.0016666666666666668
signalling,NA,-1.3683200105458386,1,71,42000,0.0016904761904761904
signalling,NA,-1.3681086788491303,1,72,42000,0.0017142857142857142
signalling,NA,-1.368027923985404,1,73,42000,0.001738095238095238
signalling,NA,-1.365822879548386,1,74,42000,0.0017619047619047618
signalling,NA,-1.363259025044494,1,75,42000,0.0017857142857142857
signalling,NA,-1.3614207498447384,1,76,42000,0.0018095238095238095
signalling,NA,-1.3612312205564856,1,77,42000,0.0018333333333333333
signalling,NA,-1.3606783399946076,1,78,42000,0.0018571428571428571
signalling,NA,-1.3603818067477995,1,79,42000,0.0018809523809523809
signalling,NA,-1.3600838518550722,1,80,42000,0.0019047619047619048
signalling,NA,-1.3588402254979102,1,81,42000,0.0019285714285714286
signalling,NA,-1.3573833585077144,1,82,42000,0.0019523809523809524
signalling,NA,-1.355841017889904,1,83,42000,0.001976190476190476
signalling,NA,-1.3542771490687493,1,84,42000,0.002
signalling,NA,-1.3538995757987229,1,85,42000,0.0020238095238095236
signalling,NA,-1.3526630495405256,1,86,42000,0.0020476190476190477
signalling,NA,-1.3518730621976385,1,87,42000,0.0020714285714285713
signalling,NA,-1.351679247815165,1,88,42000,0.0020952380952380953
signalling,NA,-1.3516160531266546,1,89,42000,0.0021190476190476189
signalling,NA,-1.348567291113688,1,90,42000,0.002142857142857143
signalling,NA,-1.345381244188418,1,91,42000,0.0021666666666666666
signalling,NA,-1.345214467956445,1,92,42000,0.0021904761904761906
signalling,NA,-1.344695124303181,1,93,42000,0.0022142857142857142
signalling,NA,-1.3445705326380215,1,94,42000,0.0022380952380952382
